id,Dvfull,treatment,W1,W2,W2n,W3,W3a,W3n,W4,W4a,Census_comp,W5,W5a,W5b,W5c,Party,PartyLean,PartyLikert,N2,N2n,N3,N3n,N4_1,N4_2,N4_3,N4_4,N4_5,N4_6,N4_7,N4_8,N4_9,N4_10,N4_11,N4_12,N4_13,N4_1n,N4_2n,N4_3n,N4_4n,N4_5n,N4_6n,N4_7n,N4_8n,N4_9n,N4_10n,N4_11n,N4_12n,N4_13n,Agreatdealn,Afairamountn,Nottoomuchn,Noconfidenceatalln,ConfidenceIndex,N5,N5n,N6,N6n,N7_1,N7_2,N7_3,N7_4,N7_5,N7_6,N7_7,N7_8,N7_1n,N7_2n,N7_3n,N7_4n,N7_5n,N7_6n,N7_7n,N7_8n,GovtServicesIndex,N8,N8n,N9_1,N9_2,N9_3,N9_4,N9_1n,N9_2n,N9_3n,N9_4n,MediaIndex,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N10n,N11n,N12n,N13n,N14n,N15n,N16n,N17n,N18n,N19n,N1,N1n,N1a,N1an,Trump,D2,IdeoLikert,D4,D4n,D5,D5n,D7,D7n,D8,D8n,D9,D9n,D13,D13n,D14,D14n,D15,D15n,D11,D11n,D11a,D11an,D12_1,D12_2,Region,Division,Confirmed_Cases,Covid_Deaths,Active_Covid,Incident_Rate,Case_Fatality_Ratio,opp,Q_TotalDuration,RISN,rid,Q_CHL,QPMID,cintid,ProjectToken,isNew,wave,gc,term,Treatment,Medium,Race,LS,E0_num,E1_num,E2_num,E3_num,E4_num,E5_num,E6_num,E7_num,E0_num3,E1_num3,E2_num3,E3_num3,E4_num3,E5_num3,E6_num3,E7_num3,partisan,DVfull,control,NurseLindsaydemo,DrFaucidemo,Bidenendorse,Trumpendorse,Fauciendorse,FDA,Economy,gender,health,flu,edu,incm,marital,agevar,race,trust_sci,treatment,allergy,religion,Black,Hispanic,Asian,Mixed,Other,White,PacificIslander,NativeAmerican,Other2,concernillness,knowCovid19pat,ConfidenceIndexscale,GovtServicesIndexscale,MediaIndexscale,Incident_RatePct,lnCovid_Deaths,trust_gov,fem,county,incident_ratepct,state,ManipCorr,Durationinseconds
623,0,Control,Yes,35-50,2,Male,,0,"White,Hispanic or Latino",,Hispanic,Independent/no preference,,,Neither,Other,Neither,3,Not at all interested,0,Some of the time,1,A fair amount,No confidence at all,A fair amount,A fair amount,A fair amount,A fair amount,A fair amount,A fair amount,A fair amount,A fair amount,A fair amount,A fair amount,A fair amount,2,0,2,2,2,2,2,2,2,2,2,2,2,0,12,0,1,24,Ordinary citizens can do a lot to influence the government if they are willing to make the effort,1,Half of the time,2,Yes,No,No,No,No,No,No,No,1,0,0,0,0,0,0,0,1,The scientific method generally produces accurate conclusions,1,Never,Never,Never,Never,0,0,0,0,0,Not at all concerned,Not at all concerned,Yes,Oppose,Left the same as it is now,Stay out of this matter,"A factory owned by a Chinese company that employed 2,000 workers",Live in a democracy where government action sometimes aligns with your views,Agree,Some of the time,0,0,1,0,2,1,0,0,3,1,Yes,1,Joseph R. Biden,0,0,Very liberal,0,Single,0,No,0,Some college,2,"$100,000 to under $150,000",7,Occassionally,1,No,0,Yes,1,Fair,1,No,No,,,FLORIDA,Miami-Dade FL,South,South Atlantic,386425,5058,381367,14223,1,Qual73538399-0108Vaccination,338,9979290,602414c0-f545-8539-2b8b-34fcb99c9daa,anonymous,73531461,,,,,1,,Control,Control,Hispanic,1227,0,,,,,,,,0,,,,,,,,2,0,1,0,0,0,0,0,0,0,0,1,0,2,7,0,2,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,9,1,0,Miami-Dade FL,14,FLORIDA,,338
624,6,T3 Biden,Yes,35-50,2,Male,,0,Hispanic or Latino,,Hispanic,Democratic Party,Strong,,,Democrat,Democrat,0,Very interested,3,Most of the time,3,Not too much,A fair amount,A fair amount,A great deal,No confidence at all,A fair amount,Not too much,A fair amount,Not too much,A fair amount,Not too much,A fair amount,A fair amount,1,2,2,3,0,2,1,2,1,2,1,2,2,1,7,4,1,21,Ordinary citizens can do a lot to influence the government if they are willing to make the effort,1,Most of the time,3,No,Yes,No,No,No,Yes,Yes,No,0,1,0,0,0,1,1,0,3,The scientific method generally produces accurate conclusions,1,Several days a week,Every day,Several days a week,Several days a week,3,4,3,3,13,Very concerned,Very concerned,Yes,Oppose,Increased a little,Discourage,"A factory owned by an American company that employed 1,000 workers",Live in a democracy where government action sometimes aligns with your views,Agree,Some of the time,3,3,1,0,3,0,1,0,3,1,Yes,1,Joseph R. Biden,0,0,Very liberal,0,Single,0,No,0,Some college,2,"$75,000 to under $100,000",6,Never,0,Yes,1,Yes,1,Good,2,Yes,Yes,Catholic,Catholic,CALIFORNIA,Los Angeles CA,West,Pacific,1152430,18367,1134063,11479,2,Qual73538399-0108Vaccination,393,9979290,6024153d-2ea0-998f-0479-f51424730f4b,anonymous,73531461,,,,,1,,T3 Biden,Text Endorse,Hispanic,1227,,,,2,,,,,,,,6,,,,,0,6,0,0,0,1,0,0,0,0,0,2,1,2,6,0,2,2,1,3,1,1,0,1,0,0,0,0,0,0,0,3,1,1,0,1,0,10,3,0,Los Angeles CA,11,CALIFORNIA,1,393
625,2,T2 Fauci,Yes,35-50,2,Female,,1,Hispanic or Latino,,Hispanic,Democratic Party,Strong,,,Democrat,Democrat,0,Somewhat interested,2,About half the time,2,No confidence at all,Not too much,Not too much,A fair amount,No confidence at all,Not too much,No confidence at all,Not too much,No confidence at all,Not too much,Not too much,Not too much,Not too much,0,1,1,2,0,1,0,1,0,1,1,1,1,0,1,8,4,10,Ordinary citizens can do a lot to influence the government if they are willing to make the effort,1,Some of the time,1,No,No,No,No,No,No,No,No,0,0,0,0,0,0,0,0,0,The scientific method generally produces accurate conclusions,1,Never,Several days a week,Never,Never,0,3,0,0,3,Very concerned,Somewhat concerned,Yes,Favor,Increased a lot,Stay out of this matter,"A factory owned by a Chinese company that employed 2,000 workers",Live in a democracy where government action sometimes aligns with your views,Strongly disagree,Most of the time,3,2,1,1,4,1,0,0,0,2,No,0,,,,Mostly liberal,1,Not married but in a relationship,1,No,0,2-year college degree,3,"$50,000 to under $75,000",5,Never,0,No,0,No,0,Good,2,No,No,,,NEW YORK,New York NY,Northeast,Middle Atlantic,91409,3681,87728,5612,4,Qual73538399-0108Vaccination,512,9979290,6024149b-ffef-d591-9fa1-892e4a791d6f,anonymous,73531461,,,,,1,,T2 Fauci,Demo Endorse,Hispanic,1227,,,1,,,,,,,,2,,,,,,0,2,0,0,1,0,0,0,0,0,1,2,0,3,5,1,2,2,1,2,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,8,2,1,New York NY,6,NEW YORK,1,512
626,6,T4 Trump,Yes,Over 65,4,Male,,0,White,,White,Independent/no preference,,,Neither,Other,Neither,3,Very interested,3,About half the time,2,Not too much,A fair amount,A great deal,A great deal,A fair amount,A fair amount,Not too much,A fair amount,A fair amount,A fair amount,A fair amount,Not too much,A fair amount,1,2,3,3,2,2,1,2,2,2,2,1,2,2,8,3,0,25,Ordinary citizens can do a lot to influence the government if they are willing to make the effort,1,Half of the time,2,No,No,No,No,No,Yes,No,No,0,0,0,0,0,1,0,0,1,The scientific method generally produces accurate conclusions,1,Every day,Every few weeks/once a month,Never,Never,4,2,0,0,6,Somewhat concerned,Very concerned,No,Favor,Increased a little,Discourage,"A factory owned by an American company that employed 1,000 workers",Live in a democracy where government action sometimes aligns with your views,Agree,Most of the time,2,3,0,1,3,0,1,0,3,2,Yes,1,Joseph R. Biden,0,0,Moderate,3,Married,2,No,0,High school graduate,1,"$50,000 to under $75,000",5,Never,0,Yes,1,No,0,Good,2,No,No,,,TENNESSEE,Hamilton TN,South,East South Central,38354,417,37937,10428,1,Qual73538399-0108Vaccination,1126,9979290,6024120e-4be0-2fbc-e753-d313e48875ff,anonymous,73531461,,,,,1,,T4 Trump,Text Endorse,White,1227,,,,,2,,,,,,,,6,,,,2,6,0,0,0,0,1,0,0,0,0,2,1,1,5,2,4,0,1,4,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,6,2,0,Hamilton TN,10,TENNESSEE,0,1126
627,3,T5 Fauci,Yes,35-50,2,Male,,0,Hispanic or Latino,,Hispanic,Democratic Party,Strong,,,Democrat,Democrat,0,Very interested,3,Some of the time,1,A fair amount,A great deal,Not too much,A fair amount,Not too much,A great deal,A great deal,Not too much,Not too much,A fair amount,A fair amount,Not too much,A great deal,2,3,1,2,1,3,3,1,1,2,2,1,3,4,4,5,0,25,There’s not much ordinary citizens can do to influence the government,0,Some of the time,1,No,No,No,No,No,Yes,No,No,0,0,0,0,0,1,0,0,1,The scientific method generally produces accurate conclusions,1,Several days a week,Once a week,Never,Every few weeks/once a month,3,1,0,2,6,Very concerned,Somewhat concerned,Yes,Oppose,Increased a lot,Stay out of this matter,"A factory owned by an American company that employed 1,000 workers",Live in a non-democracy where government action often aligns with your views,Neither agree nor disagree,Some of the time,3,2,1,0,4,1,1,1,2,1,Yes,1,Other,1,0,Mostly liberal,1,Married,2,No,0,4-year college degree,4,"$20,000 to under $30,000",2,Occassionally,1,Yes,1,No,0,Very good,3,No,No,,,CALIFORNIA,Santa Cruz CA,West,Pacific,14055,160,13895,5144,1,Qual73538399-0108Vaccination,389,9979290,602415e7-dbba-9e38-1aa0-6b0ad41161f7,anonymous,73531461,,,,,1,,T5 Fauci,Text Endorse,Hispanic,1227,,,,,,1,,,,,,,,3,,,0,3,0,0,0,0,0,1,0,0,0,3,1,4,2,2,2,2,1,5,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0,0,0,5,1,0,Santa Cruz CA,5,CALIFORNIA,1,389
628,6,T1 Lindsay,Yes,Over 65,4,Male,,0,Hispanic or Latino,,Hispanic,Independent/no preference,,,Neither,Other,Neither,3,Somewhat interested,2,Most of the time,3,A fair amount,A fair amount,A great deal,A great deal,No confidence at all,A fair amount,A fair amount,Not too much,A fair amount,A great deal,A fair amount,Not too much,A great deal,2,2,3,3,0,2,2,1,2,3,2,1,3,4,6,2,1,26,Ordinary citizens can do a lot to influence the government if they are willing to make the effort,1,Some of the time,1,Yes,No,No,No,No,Yes,No,No,1,0,0,0,0,1,0,0,2,The scientific method can be used to produce any conclusion the researcher wants,0,Every day,Several days a week,Every few weeks/once a month,Several days a week,4,3,2,3,12,Very concerned,Somewhat concerned,Yes,Favor,Increased a little,Discourage,"A factory owned by a Chinese company that employed 2,000 workers",Live in a democracy where government action sometimes aligns with your views,Agree,Most of the time,3,2,1,1,3,0,0,0,3,2,Yes,1,Joseph R. Biden,0,0,Mostly liberal,1,Single,0,No,0,Advanced degree,5,"$10,000 to under $20,000",1,Never,0,No,0,No,0,Good,2,No,No,,,CALIFORNIA,Orange CA,West,Pacific,253900,3416,250484,7995,1,Qual73538399-0108Vaccination,1025,9979290,60241306-3db1-2f41-63c7-32563bc51eeb,anonymous,73531461,,,,,1,,T1 Lindsay,Demo Endorse,Hispanic,1227,,2,,,,,,,,6,,,,,,,2,6,0,1,0,0,0,0,0,0,0,2,0,5,1,0,4,2,0,1,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0,1,0,8,3,0,Orange CA,8,CALIFORNIA,1,1025
629,6,T4 Trump,Yes,Over 65,4,Male,,0,"Hispanic or Latino,Native American",,Hispanic,Democratic Party,Strong,,,Democrat,Democrat,0,Very interested,3,Some of the time,1,A fair amount,A fair amount,Not too much,A fair amount,A fair amount,Not too much,Not too much,A fair amount,Not too much,Not too much,Not too much,Not too much,A fair amount,2,2,1,2,2,1,1,2,1,1,1,1,2,0,6,7,0,19,Ordinary citizens can do a lot to influence the government if they are willing to make the effort,1,Some of the time,1,Yes,Yes,No,No,No,Yes,No,Yes,1,1,0,0,0,1,0,1,4,The scientific method generally produces accurate conclusions,1,Several days a week,Several days a week,Never,Every day,3,3,0,4,10,Somewhat concerned,Somewhat concerned,Yes,Oppose,Increased a little,Discourage,"A factory owned by a Chinese company that employed 2,000 workers",Live in a democracy where government action sometimes aligns with your views,Agree,Most of the time,2,2,1,0,3,0,0,0,3,2,Yes,1,Joseph R. Biden,0,0,Mostly liberal,1,Not married but in a relationship,1,No,0,Advanced degree,5,"$75,000 to under $100,000",6,Some of the time,2,Yes,1,Yes,1,Very good,3,Yes,Yes,Catholicism,Catholicism,CALIFORNIA,Los Angeles CA,West,Pacific,1152430,18367,1134063,11479,2,Qual73538399-0108Vaccination,394,9979290,60241661-84da-e807-7b1d-8655353c7ad2,anonymous,73531461,,,,,1,,T4 Trump,Text Endorse,Hispanic,1227,,,,,2,,,,,,,,6,,,,0,6,0,0,0,0,1,0,0,0,0,3,1,5,6,1,4,2,1,4,1,1,0,1,0,0,0,0,0,0,0,2,1,0,1,1,0,10,1,0,Los Angeles CA,11,CALIFORNIA,0,394
630,2,T6 Approval,Yes,35-50,2,Male,,0,Hispanic or Latino,,Hispanic,Democratic Party,Strong,,,Democrat,Democrat,0,Very interested,3,Most of the time,3,A fair amount,A fair amount,Not too much,A great deal,A fair amount,A fair amount,Not too much,Not too much,No confidence at all,A great deal,No confidence at all,Not too much,No confidence at all,2,2,1,3,2,2,1,1,0,3,0,1,0,2,4,4,3,18,Ordinary citizens can do a lot to influence the government if they are willing to make the effort,1,Half of the time,2,No,Yes,No,No,Yes,Yes,No,No,0,1,0,0,1,1,0,0,3,The scientific method generally produces accurate conclusions,1,Every day,Every day,Several days a week,Every day,4,4,3,4,15,Very concerned,Very concerned,Yes,Oppose,Increased a little,Discourage,"A factory owned by an American company that employed 1,000 workers",Live in a democracy where government action sometimes aligns with your views,Strongly agree,Most of the time,3,3,1,0,3,0,1,0,4,2,Yes,1,Joseph R. Biden,0,0,Mostly conservative,5,Married,2,Yes,1,4-year college degree,4,"$40,000 to under $50,000",4,Most of the time,3,Yes,1,Yes,1,Fair,1,Yes,Yes,Christian,Christian,NEW YORK,Bronx NY,Northeast,Middle Atlantic,127705,5550,122155,9005,4,Qual73538399-0108Vaccination,1526,9979290,602411c4-5d3b-2262-58d7-f3b51b6ee3ba,anonymous,73531461,,,,,1,,T6 Approval,Subst Message,Hispanic,1227,,,,,,,1,,,,,,,,2,,0,2,0,0,0,0,0,0,1,0,0,1,1,4,4,2,2,2,1,6,1,1,0,1,0,0,0,0,0,0,0,3,1,0,0,1,0,9,3,0,Bronx NY,9,NEW YORK,1,1526
631,6,Control,Yes,35-50,2,Female,,1,Hispanic or Latino,,Hispanic,Democratic Party,Not very strong,,,Democrat,Democrat,1,Very interested,3,Some of the time,1,A fair amount,A great deal,A fair amount,A great deal,Not too much,A fair amount,Not too much,A fair amount,Not too much,A fair amount,A fair amount,Not too much,A fair amount,2,3,2,3,1,2,1,2,1,2,2,1,2,2,7,4,0,24,Ordinary citizens can do a lot to influence the government if they are willing to make the effort,1,Some of the time,1,No,No,No,No,No,Yes,No,No,0,0,0,0,0,1,0,0,1,The scientific method generally produces accurate conclusions,1,Several days a week,Once a week,Several days a week,Once a week,3,1,3,1,8,Not at all concerned,Not at all concerned,No,Oppose,Decreased a lot,Discourage,"A factory owned by a Chinese company that employed 2,000 workers",Live in a non-democracy where government action often aligns with your views,Neither agree nor disagree,Most of the time,0,0,0,0,0,0,0,1,2,2,Yes,1,Joseph R. Biden,0,0,Moderate,3,Married,2,Yes,1,4-year college degree,4,"$100,000 to under $150,000",7,Never,0,Yes,1,No,0,Excellent,4,No,No,,,MICHIGAN,Muskegon MI,Midwest,East North Central,10400,303,10097,5992,3,Qual73538399-0108Vaccination,512,9979290,6024161a-b408-19c8-99b6-137517702f84,anonymous,73531461,,,,,1,,Control,Control,Hispanic,1227,2,,,,,,,,6,,,,,,,,0,6,1,0,0,0,0,0,0,0,1,4,1,4,7,2,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,6,1,1,Muskegon MI,6,MICHIGAN,,512
632,6,T6 Approval,Yes,35-50,2,Male,,0,African American,,Black,Democratic Party,Strong,,,Democrat,Democrat,0,Extremely interested,4,Always,4,A great deal,A great deal,A fair amount,A great deal,A great deal,A great deal,A fair amount,A great deal,A great deal,A fair amount,A great deal,A fair amount,A great deal,3,3,2,3,3,3,2,3,3,2,3,2,3,9,4,0,0,35,Ordinary citizens can do a lot to influence the government if they are willing to make the effort,1,All of the time,4,Yes,No,No,No,No,No,No,No,1,0,0,0,0,0,0,0,1,The scientific method can be used to produce any conclusion the researcher wants,0,Every day,Every day,Several days a week,Several days a week,4,4,3,3,14,Very concerned,Somewhat concerned,No,Favor,Left the same as it is now,Encourage,"A factory owned by an American company that employed 1,000 workers",Live in a democracy where government action sometimes aligns with your views,Strongly agree,Most of the time,3,2,0,1,2,2,1,0,4,2,Yes,1,Joseph R. Biden,0,0,Very liberal,0,Married,2,Yes,1,Advanced degree,5,"$150,000 or more",8,Never,0,No,0,No,0,Excellent,4,Yes,Yes,Catholic ,Catholic ,NEW YORK,New York NY,Northeast,Middle Atlantic,91409,3681,87728,5612,4,Qual73538399-0108Vaccination,795,9979290,602414e4-44b3-86f0-b93e-4602d40d9ded,anonymous,73531461,,,,,1,,T6 Approval,Subst Message,Black,1227,,,,,,,2,,,,,,,,6,,0,6,0,0,0,0,0,0,1,0,0,4,0,5,8,2,2,1,0,6,0,1,1,0,0,0,0,0,0,0,0,2,0,1,0,1,0,8,4,0,New York NY,6,NEW YORK,1,795
633,6,Control,Yes,35-50,2,Female,,1,White,,White,Democratic Party,Strong,,,Democrat,Democrat,0,Extremely interested,4,About half the time,2,A fair amount,A fair amount,A fair amount,A great deal,No confidence at all,Not too much,Not too much,Not too much,A fair amount,A fair amount,Not too much,No confidence at all,A fair amount,2,2,2,3,0,1,1,1,2,2,1,0,2,1,6,4,2,19,Ordinary citizens can do a lot to influence the government if they are willing to make the effort,1,Half of the time,2,No,No,No,No,No,Yes,No,No,0,0,0,0,0,1,0,0,1,The scientific method generally produces accurate conclusions,1,Every day,Every day,Every day,Every day,4,4,4,4,16,Very concerned,Very concerned,Yes,Oppose,Increased a lot,Stay out of this matter,"A factory owned by a Chinese company that employed 2,000 workers",Live in a democracy where government action sometimes aligns with your views,Neither agree nor disagree,Some of the time,3,3,1,0,4,1,0,0,2,1,Yes,1,Joseph R. Biden,0,0,Very liberal,0,Married,2,Yes,1,Advanced degree,5,"$150,000 or more",8,Never,0,No,0,No,0,Very good,3,No,No,,,MICHIGAN,Macomb MI,Midwest,East North Central,56964,1908,55056,6518,3,Qual73538399-0108Vaccination,618,9979290,60241643-23c7-acfb-6951-5ddef174b5af,anonymous,73531461,,,,,1,,Control,Control,White,1227,2,,,,,,,,6,,,,,,,,0,6,1,0,0,0,0,0,0,0,1,3,0,5,8,2,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,1,0,8,2,1,Macomb MI,7,MICHIGAN,,618
634,6,T1 Lindsay,Yes,51-65,3,Female,,1,Hispanic or Latino,,Hispanic,Independent/no preference,,,Closer to Republican Party,Other,Republican,4,Not too interested,1,Some of the time,1,Not too much,A fair amount,Not too much,A great deal,A great deal,Not too much,Not too much,Not too much,Not too much,Not too much,Not too much,Not too much,Not too much,1,2,1,3,3,1,1,1,1,1,1,1,1,2,1,10,0,18,There’s not much ordinary citizens can do to influence the government,0,Some of the time,1,No,No,No,No,No,Yes,No,No,0,0,0,0,0,1,0,0,1,The scientific method generally produces accurate conclusions,1,Every day,Never,Never,Never,4,0,0,0,4,Not at all concerned,Very concerned,Yes,Favor,Decreased a lot,Discourage,"A factory owned by an American company that employed 1,000 workers",Live in a non-democracy where government action often aligns with your views,Agree,Some of the time,0,3,1,1,0,0,1,1,3,1,Yes,1,Donald J. Trump,3,1,Somewhat conservative,4,Married,2,No,0,High school graduate,1,"$40,000 to under $50,000",4,Never,0,Yes,1,Yes,1,Poor,0,Yes,Yes,Catholic,Catholic,TEXAS,Tarrant TX,South,West South Central,230981,2509,228472,10986,1,Qual73538399-0108Vaccination,498,9979290,6024168a-965d-efa1-34ab-dbce303cf19e,anonymous,73531461,,,,,1,,T1 Lindsay,Demo Endorse,Hispanic,1227,,2,,,,,,,,6,,,,,,,2,6,0,1,0,0,0,0,0,0,1,0,1,1,4,2,3,2,1,1,1,1,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,8,1,1,Tarrant TX,11,TEXAS,1,498
635,6,T7 Economy,Yes,35-50,2,Male,,0,African American,,Black,Independent/no preference,,,Neither,Other,Neither,3,Very interested,3,Never,0,Not too much,No confidence at all,A great deal,A great deal,No confidence at all,A fair amount,A fair amount,No confidence at all,A great deal,Not too much,A fair amount,A fair amount,A fair amount,1,0,3,3,0,2,2,0,3,1,2,2,2,3,5,2,3,21,Ordinary citizens can do a lot to influence the government if they are willing to make the effort,1,All of the time,4,No,No,No,No,Yes,No,No,No,0,0,0,0,1,0,0,0,1,The scientific method generally produces accurate conclusions,1,Once a week,Once a week,Every day,Several days a week,1,1,4,3,9,Very concerned,Very concerned,No,Favor,Left the same as it is now,Stay out of this matter,"A factory owned by a Chinese company that employed 2,000 workers",Live in a democracy where government action sometimes aligns with your views,Strongly agree,Most of the time,3,3,0,1,2,1,0,0,4,2,No,0,,,,Very liberal,0,Single,0,Yes,1,4-year college degree,4,"$75,000 to under $100,000",6,Never,0,Yes,1,No,0,Good,2,No,No,,,MASSACHUSETTS,Bristol MA,Northeast,New England,52832,1396,51436,9347,3,Qual73538399-0108Vaccination,884,9979290,602415b0-f226-42c4-e954-7896f9cefd45,anonymous,73531461,,,,,1,,T7 Economy,Subst Message,Black,1227,,,,,,,,2,,,,,,,,6,2,6,0,0,0,0,0,0,0,1,0,2,1,4,6,0,2,1,1,7,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,1,0,7,0,0,Bristol MA,9,MASSACHUSETTS,1,884
636,6,T7 Economy,Yes,35-50,2,Male,,0,"White,Hispanic or Latino",,Hispanic,Democratic Party,Strong,,,Democrat,Democrat,0,Extremely interested,4,Most of the time,3,A fair amount,A fair amount,A fair amount,A great deal,No confidence at all,A fair amount,Not too much,A fair amount,Not too much,Not too much,A fair amount,Not too much,A fair amount,2,2,2,3,0,2,1,2,1,1,2,1,2,1,7,4,1,21,Ordinary citizens can do a lot to influence the government if they are willing to make the effort,1,Most of the time,3,Yes,No,No,No,Yes,No,No,Yes,1,0,0,0,1,0,0,1,3,The scientific method generally produces accurate conclusions,1,Every day,Several days a week,Several days a week,Every day,4,3,3,4,14,Very concerned,Somewhat concerned,Yes,Favor,Left the same as it is now,Discourage,"A factory owned by an American company that employed 1,000 workers",Live in a democracy where government action sometimes aligns with your views,Neither agree nor disagree,Some of the time,3,2,1,1,2,0,1,0,2,1,No,0,,,,Mostly liberal,1,Married,2,No,0,Advanced degree,5,"$150,000 or more",8,Occassionally,1,Yes,1,No,0,Very good,3,No,No,,,CALIFORNIA,Orange CA,West,Pacific,253900,3416,250484,7995,1,Qual73538399-0108Vaccination,425,9979290,60241740-4013-369d-fc37-5c2748a03a93,anonymous,73531461,,,,,1,,T7 Economy,Subst Message,Hispanic,1227,,,,,,,,2,,,,,,,,6,0,6,0,0,0,0,0,0,0,1,0,3,1,5,8,2,2,2,1,7,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0,1,0,8,3,0,Orange CA,8,CALIFORNIA,1,425
637,3,T7 Economy,Yes,35-50,2,Male,,0,"White,Hispanic or Latino",,Hispanic,Republican Party,,Strong,,Republican,Republican,6,Not too interested,1,About half the time,2,No confidence at all,No confidence at all,A great deal,A fair amount,A fair amount,Not too much,A fair amount,A fair amount,Not too much,A fair amount,A fair amount,A fair amount,A fair amount,0,0,3,2,2,1,2,2,1,2,2,2,2,1,8,2,2,21,There’s not much ordinary citizens can do to influence the government,0,Half of the time,2,No,No,No,Yes,No,Yes,No,No,0,0,0,1,0,1,0,0,2,The scientific method can be used to produce any conclusion the researcher wants,0,Several days a week,Several days a week,Several days a week,Several days a week,3,3,3,3,12,Somewhat concerned,Not too concerned,Yes,Favor,Decreased a little,Discourage,"A factory owned by an American company that employed 1,000 workers",Live in a democracy where government action sometimes aligns with your views,Agree,Some of the time,2,1,1,1,1,0,1,0,3,1,Yes,1,Donald J. Trump,3,1,Mostly conservative,5,Married,2,Yes,1,Some college,2,"$100,000 to under $150,000",7,Never,0,Yes,1,No,0,Very good,3,No,No,,,COLORADO,Pueblo CO,West,Mountain,14452,360,14092,8581,2,Qual73538399-0108Vaccination,537,9979290,6024169a-5920-07fa-80fb-70470206822d,anonymous,73531461,,,,,1,,T7 Economy,Subst Message,Hispanic,1227,,,,,,,,1,,,,,,,,3,1,3,0,0,0,0,0,0,0,1,0,3,1,2,7,2,2,2,0,7,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,6,2,0,Pueblo CO,9,COLORADO,1,537
638,6,T3 Biden,Yes,51-65,3,Male,,0,White,,White,Independent/no preference,,,Closer to Democratic Party,Other,Democrat,2,Very interested,3,Most of the time,3,A great deal,A fair amount,A great deal,A great deal,A fair amount,A fair amount,A fair amount,A great deal,A great deal,Not too much,A great deal,A fair amount,A great deal,3,2,3,3,2,2,2,3,3,1,3,2,3,7,5,1,0,32,Ordinary citizens can do a lot to influence the government if they are willing to make the effort,1,Most of the time,3,No,No,No,Yes,No,Yes,No,No,0,0,0,1,0,1,0,0,2,The scientific method generally produces accurate conclusions,1,Every day,Every few weeks/once a month,Never,Several days a week,4,2,0,3,9,Not too concerned,Not too concerned,No,Favor,Left the same as it is now,Discourage,"A factory owned by an American company that employed 1,000 workers",Live in a democracy where government action sometimes aligns with your views,Strongly agree,Some of the time,1,1,0,1,2,0,1,0,4,1,Yes,1,Joseph R. Biden,0,0,Mostly liberal,1,Married,2,No,0,4-year college degree,4,"$75,000 to under $100,000",6,Never,0,No,0,No,0,Good,2,Yes,Yes,Jewish,Jewish,MASSACHUSETTS,Hampshire MA,Northeast,New England,6362,241,6121,3956,4,Qual73538399-0108Vaccination,647,9979290,6024175e-5eb4-bc3a-44c1-0508fcdb37f4,anonymous,73531461,,,,,1,,T3 Biden,Text Endorse,White,1227,,,,2,,,,,,,,6,,,,,2,6,0,0,0,1,0,0,0,0,0,2,0,4,6,2,3,0,1,3,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,5,3,0,Hampshire MA,4,MASSACHUSETTS,1,647
